======================================================================
Experiment Log: CCAP-Net | dataset=SEED-IV | mode=cross-subject | sessions=[1, 2, 3]
Start Time: 2026-01-18 14:06:59
======================================================================


======================================================================
SEED-IV Session 1 Training Start
======================================================================
Training subject 1/15, Session 1, Dataset SEED-IV
[2026-01-18 14:12:38] Epoch 1050/1200 | Loss: 2.2649 (PIL: 0.0092, Trans: 2.2557) | Src Acc: 99.97% | Tgt Acc: 73.09% | CDANcov: 98.8%
[2026-01-18 14:12:41] Epoch 1060/1200 | Loss: 2.3372 (PIL: 0.0143, Trans: 2.3229) | Src Acc: 100.00% | Tgt Acc: 70.39% | CDANcov: 98.7%
[2026-01-18 14:12:44] Epoch 1070/1200 | Loss: 2.2380 (PIL: 0.0139, Trans: 2.2240) | Src Acc: 99.52% | Tgt Acc: 65.57% | CDANcov: 97.8%
[2026-01-18 14:12:47] Epoch 1080/1200 | Loss: 2.3248 (PIL: 0.0330, Trans: 2.2918) | Src Acc: 99.52% | Tgt Acc: 64.63% | CDANcov: 95.3%
[2026-01-18 14:12:50] Epoch 1090/1200 | Loss: 2.2930 (PIL: 0.0347, Trans: 2.2583) | Src Acc: 100.00% | Tgt Acc: 72.39% | CDANcov: 97.0%
[2026-01-18 14:12:53] Epoch 1100/1200 | Loss: 2.3005 (PIL: 0.0046, Trans: 2.2959) | Src Acc: 100.00% | Tgt Acc: 70.39% | CDANcov: 99.5%
[2026-01-18 14:12:56] Epoch 1110/1200 | Loss: 2.4441 (PIL: 0.1263, Trans: 2.3178) | Src Acc: 98.87% | Tgt Acc: 68.63% | CDANcov: 96.4%
[2026-01-18 14:12:59] Epoch 1120/1200 | Loss: 2.2736 (PIL: 0.0202, Trans: 2.2534) | Src Acc: 99.52% | Tgt Acc: 64.63% | CDANcov: 97.5%
[2026-01-18 14:13:02] Epoch 1130/1200 | Loss: 2.2812 (PIL: 0.0197, Trans: 2.2614) | Src Acc: 99.82% | Tgt Acc: 64.63% | CDANcov: 96.5%
[2026-01-18 14:13:05] Epoch 1140/1200 | Loss: 2.3134 (PIL: 0.0209, Trans: 2.2925) | Src Acc: 100.00% | Tgt Acc: 66.27% | CDANcov: 97.3%
[2026-01-18 14:13:08] Epoch 1150/1200 | Loss: 2.2766 (PIL: 0.0096, Trans: 2.2670) | Src Acc: 99.52% | Tgt Acc: 70.39% | CDANcov: 99.3%
[2026-01-18 14:13:12] Epoch 1160/1200 | Loss: 2.2313 (PIL: 0.0103, Trans: 2.2210) | Src Acc: 99.52% | Tgt Acc: 70.39% | CDANcov: 99.6%
[2026-01-18 14:13:15] Epoch 1170/1200 | Loss: 2.3889 (PIL: 0.0965, Trans: 2.2924) | Src Acc: 96.60% | Tgt Acc: 65.45% | CDANcov: 96.9%
[2026-01-18 14:13:18] Epoch 1180/1200 | Loss: 2.2760 (PIL: 0.0151, Trans: 2.2609) | Src Acc: 99.52% | Tgt Acc: 70.39% | CDANcov: 99.1%
[2026-01-18 14:13:21] Epoch 1190/1200 | Loss: 2.3005 (PIL: 0.0102, Trans: 2.2904) | Src Acc: 99.52% | Tgt Acc: 70.39% | CDANcov: 99.1%
[2026-01-18 14:13:24] Epoch 1200/1200 | Loss: 2.3241 (PIL: 0.0440, Trans: 2.2801) | Src Acc: 100.00% | Tgt Acc: 72.39% | CDANcov: 98.6%
Training subject 2/15, Session 1, Dataset SEED-IV
[2026-01-18 14:13:27] Epoch   10/1200 | Loss: 2.8178 (PIL: 0.7305, Trans: 2.0873) | Src Acc: 78.23% | Tgt Acc: 39.13% | CDANcov: 0.0%
[2026-01-18 14:13:30] Epoch   20/1200 | Loss: 2.2859 (PIL: 0.4177, Trans: 1.8682) | Src Acc: 87.10% | Tgt Acc: 37.84% | CDANcov: 0.0%
[2026-01-18 14:13:33] Epoch   30/1200 | Loss: 1.9832 (PIL: 0.2983, Trans: 1.6849) | Src Acc: 95.95% | Tgt Acc: 36.55% | CDANcov: 0.0%
[2026-01-18 14:13:35] Epoch   40/1200 | Loss: 1.9936 (PIL: 0.2744, Trans: 1.7191) | Src Acc: 96.94% | Tgt Acc: 36.55% | CDANcov: 0.0%
[2026-01-18 14:13:38] Epoch   50/1200 | Loss: 1.8653 (PIL: 0.2271, Trans: 1.6382) | Src Acc: 96.53% | Tgt Acc: 39.37% | CDANcov: 0.0%
[2026-01-18 14:13:41] Epoch   60/1200 | Loss: 1.8842 (PIL: 0.2391, Trans: 1.6451) | Src Acc: 96.27% | Tgt Acc: 36.55% | CDANcov: 0.0%
[2026-01-18 14:13:44] Epoch   70/1200 | Loss: 1.9399 (PIL: 0.2019, Trans: 1.7380) | Src Acc: 98.04% | Tgt Acc: 37.02% | CDANcov: 0.0%
[2026-01-18 14:13:46] Epoch   80/1200 | Loss: 1.7777 (PIL: 0.1861, Trans: 1.5916) | Src Acc: 96.28% | Tgt Acc: 40.42% | CDANcov: 0.0%
[2026-01-18 14:13:49] Epoch   90/1200 | Loss: 1.8599 (PIL: 0.2233, Trans: 1.6366) | Src Acc: 96.85% | Tgt Acc: 36.55% | CDANcov: 0.0%
[2026-01-18 14:13:52] Epoch  100/1200 | Loss: 2.2036 (PIL: 0.4688, Trans: 1.7347) | Src Acc: 95.85% | Tgt Acc: 39.95% | CDANcov: 0.0%
[2026-01-18 14:13:55] Epoch  110/1200 | Loss: 1.7816 (PIL: 0.1471, Trans: 1.6345) | Src Acc: 97.87% | Tgt Acc: 41.13% | CDANcov: 91.9%
[2026-01-18 14:13:58] Epoch  120/1200 | Loss: 1.8079 (PIL: 0.1575, Trans: 1.6504) | Src Acc: 98.11% | Tgt Acc: 35.14% | CDANcov: 92.8%
[2026-01-18 14:14:01] Epoch  130/1200 | Loss: 1.9577 (PIL: 0.2437, Trans: 1.7140) | Src Acc: 94.49% | Tgt Acc: 40.31% | CDANcov: 92.1%
[2026-01-18 14:14:04] Epoch  140/1200 | Loss: 1.9162 (PIL: 0.1671, Trans: 1.7491) | Src Acc: 91.53% | Tgt Acc: 45.36% [SAVE] | CDANcov: 92.4%
[2026-01-18 14:14:07] Epoch  150/1200 | Loss: 1.9074 (PIL: 0.1661, Trans: 1.7413) | Src Acc: 98.73% | Tgt Acc: 44.18% | CDANcov: 93.1%
[2026-01-18 14:14:10] Epoch  160/1200 | Loss: 1.9909 (PIL: 0.2157, Trans: 1.7752) | Src Acc: 93.16% | Tgt Acc: 40.66% | CDANcov: 93.6%
[2026-01-18 14:14:13] Epoch  170/1200 | Loss: 1.9971 (PIL: 0.1719, Trans: 1.8252) | Src Acc: 98.22% | Tgt Acc: 40.19% | CDANcov: 93.2%
[2026-01-18 14:14:16] Epoch  180/1200 | Loss: 1.9286 (PIL: 0.1409, Trans: 1.7877) | Src Acc: 97.80% | Tgt Acc: 42.30% | CDANcov: 93.0%
[2026-01-18 14:14:19] Epoch  190/1200 | Loss: 1.9535 (PIL: 0.0691, Trans: 1.8844) | Src Acc: 96.89% | Tgt Acc: 43.60% | CDANcov: 94.0%
